journal	year	authors	title	language	wordcount	doctype	doi	citation_counts	S2titles	S2years	condition	matchstrength	S2journal	S2authors	new_cite_count
The Modern Language Review	1913	['J. G. Robertson']	Review Article	['eng']	1539	article | book-review	10.2307/3712700	0	Hamann und die Aufklarung. Studien zur Vorgeschichte des romantischen Geistes im achtzehnten Jahrhundert@@@La Vie et l'Oeuvre de J. G. Hamann, le 'Mage du Nord'	1913-07-01	not citable	0.0	NA	NA	0
The Review of English Studies	1962	['H. W. Donner']	Review Article	['eng']	1245	article | book-review	10.2307/512668	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1980	['Pat Rogers']	Review Article	['eng']	1980	article | book-review	10.2307/513892	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1914	['Friedrich Schoenemann']	Zur Literaturgeschichte der Mark Brandenburg	['ger']	4173	article | research-article	10.2307/433036	0	Zur Literaturgeschichte der Mark Brandenburg	1914	found	1.12	Modern Philology	F. Schoenemann	45
The Modern Language Review	1962	['G. K. Hunter']	Review Article	['eng']	1271	article | book-review	10.2307/3720487	46	Pastoral poetry, and, An essay on criticism	1962-10-01	not citable	0.0	NA	NA	46
Modern Philology	2013	['Susan E. Phillips']	<em>Emily C. Bartels</em>, Speaking of the Moor: From <em>Alcazar</em>  to <em>Othello</em>	['eng']	3218	article | book-review	10.1086/668508	0	Emily C. Bartels, Speaking of the Moor: From Alcazar  to Othello	2013-02-01	no strong match	0.0	NA	NA	0
New Literary History	1996	['Larry Wolff']	"""The Boys Are Pickpockets, and the Girl Is a Prostitute"": Gender and Juvenile Criminality in Early Victorian England from ""Oliver Twist to London Labour"""	['eng']	10448	article | research-article	10.2307/20057349	0	"""The Boys are Pickpockets, and the Girl is a Prostitute"": Gender and Juvenile Criminality in Early Victorian England from Oliver Twist to London Labour"	1996	found	1.12	New Literary History	L. Wolff	17
The Modern Language Review	1967	['Geoffrey Carnall']	Review Article	['eng']	1281	article | book-review	10.2307/3723117	0	L'oeuvre de Walter Savage Landor	1967-10-01	not citable	0.0	NA	NA	0
The Review of English Studies	1973	['Susie I. Tucker']	Review Article	['eng']	1561	article | book-review	10.2307/514995	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1955	['Ernest Tuveson']	"Locke and the ""Dissolution of the Ego"""	['eng']	10436	article | research-article	10.2307/435542	0	"Locke and the ""Dissolution of the Ego"""	1955	found	1.12	Modern Philology	E. Tuveson	30
The Modern Language Review	1968	['W. F. Ryan']	Aristotle in Old Russian Literature	['eng']	6004	article | research-article	10.2307/3722206	1	Aristotle in Old Russian Literature	1968-07-01	already found	0.0	NA	NA	1
The Review of English Studies	2007	['Aileen Douglas']	Review Article	['eng']	990	article | book-review	10.2307/4501646	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1982	['G. K. Hunter']	Review Article	['eng']	1350	article | book-review	10.2307/3726821	181	Collected Works of Erasmus	1982-04-01	not citable	0.0	NA	NA	181
The Modern Language Review	1996	['Spencer Golub']	Review Article	['eng']	1135	article | book-review	10.2307/3735108	9	Theatre As Action: Soviet Russian Avant-Garde Aesthetics	1993-05-01	not citable	0.0	NA	NA	9
The Modern Language Review	1944	['B. E. C. Davis']	Review Article	['eng']	596	article | book-review	10.2307/3716919	0	Thomas De Quincey's Theory of Literature		not citable	0.0	NA	NA	0
The Modern Language Review	1984	['P. McKenzie']	George Eliot's Nightmare, Proust's Realism	['eng']	4125	article | research-article	10.2307/3730121	1	George Eliot's Nightmare, Proust's Realism	1984-10-01	already found	0.0	NA	NA	1
The Modern Language Review	1919	['Henry Bradley', 'K. Sisam']	Textual Notes on the Old English 'Epistola Alexandri'	['eng']	1268	article | research-article	10.2307/4623461	0		no date	no strong match	0.0	NA	NA	0
New Literary History	2009	['Gordon Hutner']	The Lessons of the Editor	['eng']	3961	article | research-article	10.2307/40666439	0	The Lessons of the Editor	2009	found	1.12	New Literary History	G. Hutner	0
The Modern Language Review	1958	['Mary Forster Martin']	"Stow's ""Annals"" and ""The Famous Historie of Sir Thomas Wyat"""	['eng']	1750	article | research-article	10.2307/3718127	0	"Stow's ""Annals"" and ""The Famous Historie of Sir Thomas Wyat"""	1958	found	1.0	Modern Language Review	M. Martin	0
The Modern Language Review	1958	['Philip Edwards']	Review Article	['eng']	1264	article | book-review	10.2307/3719075	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1966	['James B. Stronks']	Review Article	['eng']	1019	article | book-review	10.2307/436135	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1983	['A. D. Nuttall']	Review Article	['eng']	1335	article | book-review	10.2307/3729501	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1970	['Edwin J. Webber']	Review Article	['eng']	2140	article | book-review	10.2307/436434	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1987	['Paul Julian Smith']	"The Rhetoric of Representation in Writers and Critics of Picaresque Narrative: ""Lazarillo de Tormes, Guzmán de Alfarache, El Buscón"""	['eng']	12481	article | research-article	10.2307/3729915	8	"The Rhetoric of Representation in Writers and Critics of Picaresque Narrative: ""Lazarillo de Tormes, Guzman de Alfarache, El Buscon"""		already found	0.0	NA	NA	8
Modern Philology	1916	['H. W. Puckett']	"The ""Genoveva"" Theme with Particular Reference to Hebbel's Treatment"	['eng']	6790	article | research-article	10.2307/433069	0	"The ""Genoveva"" Theme with Particular Reference to Hebbel's Treatment"	1916	found	1.12	Modern Philology	H. W. Puckett	1
The Modern Language Review	1961	['S. John']	Review Article	['eng']	593	article | book-review	10.2307/3721672	0	Anatole France: 'Le Crime de Sylvestre Bonnard'	1961-10-01	not citable	0.0	NA	NA	0
The Review of English Studies	2002	['anonymous']	Front Matter	['eng']	1510	article | misc	10.2307/3070640	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1994	['Peter Bement']	Review Article	['eng']	846	article | book-review	10.2307/517457	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1993	['T. Peach']	Review Article	['eng']	1247	article | book-review	10.2307/3733812	0	La déploration de l'église militante	1993-04-01	not citable	0.0	NA	NA	0
Modern Philology	1941	['anonymous']	Front Matter	['eng']	661	article | misc	10.2307/434543	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1950	['Ernest S. Gohn']	Review Article	['eng']	1776	article | book-review	10.2307/435104	0		no date	not citable	0.0	NA	NA	0
PMLA	2016	['anonymous']	Front Matter	['eng']	8672	article | misc	10.2307/26158859	0		no date	not citable	0.0	NA	NA	0
PMLA	2012	['JOHN E. DAVIDSON']	Industry in Idealized Form: The Work of Movies in Film's First One Hundred Years	['eng']	6986	article | research-article	10.2307/23489093	0	Industry in Idealized Form: The Work of Movies in Film's First One Hundred Years	2012	found	1.12	PMLA/Publications of the Modern Language Association of America	J. E. Davidson	0
PMLA	1985	['Geoffrey Galt Harpham']	E. L. Doctorow and the Technology of Narrative	['eng']	11752	article | research-article	10.2307/462202	26	E. L. Doctorow and the Technology of Narrative	1985-01-01	already found	0.0	NA	NA	26
Modern Philology	1949	['anonymous']	Back Matter	['eng']	449	article | misc	10.2307/435539	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1933	['anonymous']	Other Books and Pamphlets Received	['eng']	641	article | misc	10.2307/508824	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1966	['Andrew J. Patenall']	Review Article	['eng']	1143	article | book-review	10.2307/3724043	0	Elizabeth I and the puritans	1974-07-01	not citable	0.0	NA	NA	0
The Modern Language Review	1960	['J. Knight Bostock']	Review Article	['eng']	365	article | book-review	10.2307/4623568	0		no date	not citable	0.0	NA	NA	0
New Literary History	1984	['Gabriele Schwab']	Genesis of the Subject, Imaginary Functions, and Poetic Language	['eng']	9249	article | research-article	10.2307/468715	6	Genesis of the Subject, Imaginary Functions, and Poetic Language	1984-01-21	already found	0.0	NA	NA	6
PMLA	1913	['T. Atkinson Jenkins']	The Chairman's Address: Scolarship and Public Spirit	['eng']	9544	article | research-article	10.2307/456757	0	The Chairman's Address		no strong match	0.0	NA	NA	0
The Modern Language Review	1989	"[""Terence O'Reilly""]"	Review Article	['eng']	1202	article | book-review	10.2307/3731640	2	Rasgos erasmistas de la locura del Licenciado Vidriera de Miguel de Cervantes	1989-04-01	not citable	0.0	NA	NA	2
New Literary History	2013	['anonymous']	Back Matter	['eng']	1379	article | misc	10.2307/24542614	0		no date	not citable	0.0	NA	NA	0
PMLA	1992	['Alice Kuzniar']	Hearing Woman's Voices in Heinrich von Ofterdingen	['eng']	8617	article | research-article	10.2307/462874	24	Hearing Woman's Voices in Heinrich von Ofterdingen	1992-10-01	already found	0.0	NA	NA	24
The Modern Language Review	2001	['Bill Niven']	Review Article	['eng']	1276	article | book-review	10.2307/3735969	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1959	['W. B. Gallie']	Review Article	['eng']	1942	article | book-review	10.2307/3720855	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1934	['James Holly Hanford', 'Sara Ruth Watson']	"Personal Allegory in the ""Arcadia"": Philisides and Lelius"	['eng']	4212	article | research-article	10.2307/434179	0	"Personal Allegory in the ""Arcadia"": Philisides and Lelius"	1934	found	1.12	Modern Philology	J. H. Hanford : S. Watson	3
PMLA	1987	['Lee Clark Mitchell']	"""When You Call Me That... "": Tall Talk and Male Hegemony in the Virginian"	['eng']	9612	article | research-article	10.2307/462493	11	“When You Call Me That …”: Tall Talk and Male Hegemony in The Virginian	1987-01-01	already found	0.0	NA	NA	11
The Modern Language Review	1998	['James Trainer']	Review Article	['eng']	1166	article | book-review	10.2307/3736348	0	Ludwig Tiecks Rezeption der Antike : literarische Kritik und Reflexion griechischer und römischer Dichtung im theoretischen und poetischen Werk Tiecks	1998-10-01	not citable	0.0	NA	NA	0
The Modern Language Review	2011	['David Glover']	Review Article	['eng']	1629	article | research-article	10.5699/modelangrevi.106.2.0542	0		no date	not citable	0.0	NA	NA	0
PMLA	2012	['SEVERINO J. ALBUQUERQUE']	Directing and Teaching in a Summer Intensive Program in Portuguese	['eng']	1426	article | research-article	10.2307/23489106	0	Directing and Teaching in a Summer Intensive Program in Portuguese	2012	found	1.12	PMLA/Publications of the Modern Language Association of America	S. J. Albuquerque	0
PMLA	1994	['Gary Rosenshield']	"Choosing the Right Card: Madness, Gambling, and the Imagination in Pushkin's ""The Queen of Spades"""	['eng']	9573	article | research-article	10.2307/462967	1	Choosing the Right Card: Madness, Gambling, and the Imagination in Pushkin's “The Queen of Spades”	1994-10-01	already found	0.0	NA	NA	1
The Review of English Studies	1976	['anonymous']	Volume Information	['eng']	864	article | misc	10.2307/513836	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	2007	['Craig Kallendorf']	Review Article	['eng']	1262	article | book-review	10.2307/4501585	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1908	['anonymous']	New Publications. June-August, 1908	['eng']	4986	article | misc	10.2307/3713752	0		no date	no strong match	0.0	NA	NA	0
Modern Philology	1973	['anonymous']	Back Matter	['eng']	1353	article | misc	10.2307/436083	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1970	['Elspeth Kennedy']	Review Article	['eng']	1268	article | book-review	10.2307/3722589	0	Les chansons de geste et l'épopée : mythes, histoire, poèmes	1970-10-01	not citable	0.0	NA	NA	0
The Review of English Studies	1982	['Richard Jacobs']	Review Article	['eng']	1555	article | book-review	10.2307/513926	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1976	['Robert von Hallberg']	Review Article	['eng']	1680	article | book-review	10.2307/435996	0		no date	not citable	0.0	NA	NA	0
Modern Philology	2000	['Hu Ying']	Review Article	['eng']	1266	article | book-review	10.2307/439087	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1991	['William Bartley']	"""The Synthesis of Love and Fear"": Nathaniel Hawthorne and the Virtue of Reverence"	['eng']	9914	article | research-article	10.2307/438265	0	"""The Synthesis of Love and Fear"": Nathaniel Hawthorne and the Virtue of Reverence"	1991	found	1.12	Modern Philology	William Bartley	1
ELH	1951	['Edward A. Bloom']	The Allegorical Principle	['eng']	10999	article | research-article	10.2307/2871807	6	The Allegorical Principle	1951-09-01	already found	0.0	NA	NA	6
The Review of English Studies	1933	['James H. Hanford']	Milton's Poem On the Death of a Fair Infant	['eng']	1703	article | research-article	10.2307/508307	0	MILTON'S POEM ON THE DEATH OF A FAIR INFANT	1933	found	1.12	The Review of English Studies	J. H. Hanford	0
The Modern Language Review	1960	['anonymous']	Back Matter	['eng']	716	article | misc	10.2307/3720386	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1930	['LePage Duboccage', 'Frederick King Turgeon']	Unpublished Letters of Mme du Boccage	['eng']	7149	article | research-article	10.2307/433501	0	Unpublished Letters of Mme du Boccage	1930	found	1.12	Modern Philology	LePage Duboccage : F. K. Turgeon	1
New Literary History	2008	['Tzachi Zamir']	Wooden Subjects	['eng']	11135	article | research-article	10.2307/20058070	0	Wooden Subjects	2008	found	1.12	New Literary History	Tzachi Zamir	2
The Modern Language Review	1992	['Donald L. Guss']	Review Article	['eng']	1169	article | book-review	10.2307/3731429	16	The History in Literature-On Value, Genre, Institutions		not citable	0.0	NA	NA	16
The Modern Language Review	1985	['D. H. Green']	Review Article	['eng']	1292	article | book-review	10.2307/3729025	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1980	['T. A. Shippey']	Review Article	['eng']	2052	article | book-review	10.2307/3727979	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1931	['Preserved Smith']	Review Article	['eng']	1240	article | book-review	10.2307/433673	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1983	['J. H. Marshall']	Review Article	['eng']	1314	article | book-review	10.2307/3728360	3	Chanter M'Estuet: Songs of the Trouveres	1981-09-01	not citable	0.0	NA	NA	3
PMLA	1964	['Jost Hermand']	"Schillers Abhandlung ""Über naive und sentimentalische Dichtung"" im Lichte der deutschen Popularphilosophie des 18. Jahrhunderts"	['ger']	10371	article | research-article	10.2307/460748	3	Schillers Abhandlung “Über Naive und Sentimentalische Dichtung” Im Lichte Der Deutschen Popularphilosophie Des 18. Jahrhunderts	1964-09-01	already found	0.0	NA	NA	3
Modern Philology	2004	['Jonathan Lamb']	Review Article	['eng']	1852	article | book-review	10.1086/429190	0	The Skeptical Sublime: Aesthetic Ideology in Pope and the Tory Satirists. James Noggle. Oxford: Oxford University Press, 2001. Pp. xiv+269.	2004-08-01	not citable	0.0	NA	NA	0
Modern Philology	1984	['H. A. Kelly']	Review Article	['eng']	1194	article | book-review	10.2307/437134	0		no date	not citable	0.0	NA	NA	0
PMLA	2000	['Brett Bowles']	Poetic Practice and Historical Paradigm: Charles Baudelaire's Anti-Semitism	['eng']	9675	article | research-article	10.2307/463256	3	Poetic Practice and Historical Paradigm: Charles Baudelaire's Anti-Semitism	2000-03-01	already found	0.0	NA	NA	3
The Modern Language Review	1978	['Alfred D. White']	Review Article	['eng']	1211	article | book-review	10.2307/3727379	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	2008	['Simon Ward']	Review Article	['eng']	699	article | book-review	10.2307/20467760	0	'Ich bitte um ein Wort...' Wolfgang Koeppen: Siegfried Unseld: Der Briefwechse by Alfred Estermann, Wolfgang Schopf (review)	2022-02-02	not citable	0.0	NA	NA	0
Modern Philology	1953	['anonymous']	Back Matter	['eng']	335	article | misc	10.2307/435046	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1949	['Austin Wright']	Victorian Bibliography for 1948	['eng']	18612	article | research-article	10.2307/435314	0	Victorian Bibliography for 1948	1949	found	1.12	Modern Philology	A. Wright	0
